State,Year,Species,Metric Tons,Pounds,$,Price Per Pound,
MA,2003,"MACKEREL, ATLANTIC",10637,"23,450,546","1,887,627",12.42,
RI,2003,"MACKEREL, ATLANTIC",4884,"10,768,086","2,385,486",4.51,
CT,2004,"MACKEREL, ATLANTIC",50,"109,254","46,872",2.33,
MA,2004,"MACKEREL, ATLANTIC",32971,"72,687,155","6,542,333",11.11,
RI,2004,"MACKEREL, ATLANTIC",6926,"15,269,238","3,815,147",4,
CT,2005,"MACKEREL, ATLANTIC",28,"62,128","21,331",2.91,
RI,2005,"MACKEREL, ATLANTIC",3663,"8,074,947","2,888,001",2.8,
CT,2006,"MACKEREL, ATLANTIC",23,"50,304","18,332",2.74,
MA,2006,"MACKEREL, ATLANTIC",40613,"89,534,522","10,320,262",8.68,
RI,2006,"MACKEREL, ATLANTIC",4601,"10,143,299","4,138,411",2.45,
CT,2007,"MACKEREL, ATLANTIC",11,"24,518","10,425",2.35,
MA,2007,"MACKEREL, ATLANTIC",20974,"46,239,740","4,736,258",9.76,
RI,2007,"MACKEREL, ATLANTIC",1924,"4,242,102","1,182,111",3.59,
CT,2008,"MACKEREL, ATLANTIC",39,"85,949","44,562",1.93,
MA,2008,"MACKEREL, ATLANTIC",16060,"35,406,477","4,264,686",8.3,
RI,2008,"MACKEREL, ATLANTIC",1082,"2,385,171","881,785",2.7,
CT,2009,"MACKEREL, ATLANTIC",39,"86,788","32,441",2.68,
MA,2009,"MACKEREL, ATLANTIC",13698,"30,198,731","4,527,981",6.67,
RI,2009,"MACKEREL, ATLANTIC",4108,"9,057,323","3,300,796",2.74,
CT,2010,"MACKEREL, ATLANTIC",17,"37,400","19,871",1.88,
MA,2010,"MACKEREL, ATLANTIC",5514,"12,156,111","1,486,986",8.18,
RI,2010,"MACKEREL, ATLANTIC",1976,"4,355,810","1,885,718",2.31,
CT,2011,"MACKEREL, ATLANTIC",17,"37,152","24,158",1.54,
MA,2011,"MACKEREL, ATLANTIC",234,"515,461","136,613",3.77,
RI,2011,"MACKEREL, ATLANTIC",74,"161,978","100,400",1.61,
CT,2012,"MACKEREL, ATLANTIC",4,"9,584","7,396",1.3,
MA,2012,"MACKEREL, ATLANTIC",1874,"4,131,405","654,329",6.31,
RI,2012,"MACKEREL, ATLANTIC",2494,"5,497,170","2,803,971",1.96,
CT,2013,"MACKEREL, ATLANTIC",11,"23,679","9,282",2.55,
MA,2013,"MACKEREL, ATLANTIC",3302,"7,279,352","1,222,966",5.95,
RI,2013,"MACKEREL, ATLANTIC",324,"713,593","338,517",2.11,
CT,2014,"MACKEREL, ATLANTIC",11,"23,690","12,400",1.91,
MA,2014,"MACKEREL, ATLANTIC",4878,"10,754,742","2,421,055",4.44,
RI,2014,"MACKEREL, ATLANTIC",245,"538,919","309,238",1.74,
CT,2015,"MACKEREL, ATLANTIC",21,"45,871","23,874",1.92,
MA,2015,"MACKEREL, ATLANTIC",3146,"6,934,684","1,926,478",3.6,
RI,2015,"MACKEREL, ATLANTIC",865,"1,906,431","1,073,507",1.78,
CT,2016,"MACKEREL, ATLANTIC",4,"8,158","4,100",1.99,
MA,2016,"MACKEREL, ATLANTIC",4763,"10,501,232","2,589,414",4.06,
RI,2016,"MACKEREL, ATLANTIC",519,"1,143,295","448,490",2.55,
ME,2000,"MACKEREL, ATLANTIC",1,"1,958","1,105",1.77,
ME,2001,"MACKEREL, ATLANTIC",1,"3,120","1,417",2.2,
ME,2002,"MACKEREL, ATLANTIC",7,"15,709","9,100",1.73,
ME,2003,"MACKEREL, ATLANTIC",1,"1,775","1,159",1.53,
ME,2004,"MACKEREL, ATLANTIC",26,"58,152","11,808",4.92,
ME,2005,"MACKEREL, ATLANTIC",38,"84,468","13,544",6.24,
ME,2006,"MACKEREL, ATLANTIC",10,"22,344","13,646",1.64,
ME,2007,"MACKEREL, ATLANTIC",115,"253,643","71,497",3.55,
ME,2008,"MACKEREL, ATLANTIC",218,"481,322","73,759",6.53,
ME,2009,"MACKEREL, ATLANTIC",25,"53,951","30,230",1.78,
ME,2010,"MACKEREL, ATLANTIC",161,"354,472","66,041",5.37,
ME,2011,"MACKEREL, ATLANTIC",90,"198,031","34,110",5.81,
ME,2012,"MACKEREL, ATLANTIC",19,"41,649","14,239",2.92,
ME,2013,"MACKEREL, ATLANTIC",465,"1,025,987","164,307",6.24,
ME,2014,"MACKEREL, ATLANTIC",622,"1,370,579","330,500",4.15,
ME,2015,"MACKEREL, ATLANTIC",510,"1,123,614","304,427",3.69,
ME,2016,"MACKEREL, ATLANTIC",169,"372,938","96,464",3.87,
RI,2000,MENHADEN,145,"320,000","19,200",16.67,
RI,2004,MENHADEN,18,"39,232","4,306",9.11,
MA,2005,MENHADEN,984,"2,169,584","149,761",14.49,
RI,2005,MENHADEN,7,"14,453","3,405",4.24,
MA,2006,MENHADEN,1136,"2,504,211","232,507",10.77,
RI,2006,MENHADEN,37,"82,424","4,609",17.88,
MA,2007,MENHADEN,2501,"5,513,817","522,850",10.55,
RI,2007,MENHADEN,4,"8,944","1,195",7.48,
MA,2008,MENHADEN,6395,"14,097,720","1,569,871",8.98,
RI,2008,MENHADEN,122,"269,288","44,117",6.1,
ME,2008,MENHADEN,1922,"4,236,213","443,971",9.54,
MA,2009,MENHADEN,3037,"6,695,392","751,502",8.91,
RI,2009,MENHADEN,49,"107,548","19,664",5.47,
ME,2009,MENHADEN,76,"166,942","21,483",7.77,
MA,2010,MENHADEN,2245,"4,948,436","602,221",8.22,
RI,2010,MENHADEN,35,"78,149","18,358",4.26,
MA,2011,MENHADEN,39,"86,643","87,982",0.98,
RI,2011,MENHADEN,38,"83,899","14,214",5.9,
MA,2012,MENHADEN,739,"1,629,206","189,489",8.6,
RI,2012,MENHADEN,48,"106,606","18,300",5.83,
MA,2013,MENHADEN,1044,"2,301,541","177,970",12.93,
RI,2013,MENHADEN,45,"99,821","17,733",5.63,
MA,2014,MENHADEN,1006,"2,218,571","166,037",13.36,
RI,2014,MENHADEN,227,"500,903","62,771",7.98,
MA,2015,MENHADEN,1328,"2,928,429","233,729",12.53,
RI,2015,MENHADEN,935,"2,060,381","183,467",11.23,
MA,2016,MENHADEN,1385,"3,052,939","372,549",8.19,
RI,2016,MENHADEN,144,"317,328","34,835",9.11,
ME,2016,MENHADEN,1983,"4,372,166","1,230,783",3.55,
CT,2000,"SCALLOP, SEA",363,"800,469","4,033,899",0.2,
MA,2000,"SCALLOP, SEA",7337,"16,174,736","85,293,917",0.19,
CT,2001,"SCALLOP, SEA",698,"1,538,113","5,726,876",0.27,
MA,2001,"SCALLOP, SEA",10269,"22,639,894","87,356,514",0.26,
CT,2002,"SCALLOP, SEA",716,"1,578,640","6,399,897",0.25,
MA,2002,"SCALLOP, SEA",11471,"25,289,857","100,551,005",0.25,
CT,2003,"SCALLOP, SEA",865,"1,907,675","8,124,639",0.23,
MA,2003,"SCALLOP, SEA",11508,"25,371,251","106,938,232",0.24,
CT,2004,"SCALLOP, SEA",985,"2,171,778","11,202,719",0.19,
MA,2004,"SCALLOP, SEA",12675,"27,943,583","144,747,979",0.19,
CT,2005,"SCALLOP, SEA",577,"1,272,129","9,760,606",0.13,
MA,2005,"SCALLOP, SEA",13175,"29,045,450","226,948,917",0.13,
CT,2006,"SCALLOP, SEA",501,"1,103,649","7,229,310",0.15,
MA,2006,"SCALLOP, SEA",16632,"36,666,479","234,796,388",0.16,
CT,2007,"SCALLOP, SEA",596,"1,312,897","8,605,213",0.15,
MA,2007,"SCALLOP, SEA",14760,"32,539,791","218,291,874",0.15,
CT,2008,"SCALLOP, SEA",638,"1,407,349","10,032,289",0.14,
MA,2008,"SCALLOP, SEA",12252,"27,011,294","189,891,395",0.14,
CT,2009,"SCALLOP, SEA",629,"1,386,223","8,951,805",0.15,
MA,2009,"SCALLOP, SEA",13509,"29,781,721","197,280,495",0.15,
CT,2010,"SCALLOP, SEA",571,"1,259,810","9,458,065",0.13,
MA,2010,"SCALLOP, SEA",14132,"31,155,917","252,253,367",0.12,
CT,2011,"SCALLOP, SEA",598,"1,318,226","13,007,339",0.1,
MA,2011,"SCALLOP, SEA",15010,"33,091,859","330,943,531",0.1,
CT,2012,"SCALLOP, SEA",559,"1,231,247","12,005,058",0.1,
MA,2012,"SCALLOP, SEA",16659,"36,725,267","364,863,812",0.1,
CT,2013,"SCALLOP, SEA",290,"639,703","7,219,189",0.09,
MA,2013,"SCALLOP, SEA",13285,"29,287,337","334,205,322",0.09,
CT,2014,"SCALLOP, SEA",276,"609,077","7,219,116",0.08,
MA,2014,"SCALLOP, SEA",9703,"21,392,034","271,373,414",0.08,
CT,2015,"SCALLOP, SEA",262,"576,966","7,039,479",0.08,
MA,2015,"SCALLOP, SEA",9759,"21,514,646","264,933,400",0.08,
CT,2016,"SCALLOP, SEA",241,"530,242","5,880,876",0.09,
MA,2016,"SCALLOP, SEA",10363,"22,845,729","281,210,347",0.08,
ME,2000,"SCALLOP, SEA",299,"658,568","3,883,690",0.17,
ME,2001,"SCALLOP, SEA",96,"211,558","1,159,421",0.18,
ME,2002,"SCALLOP, SEA",158,"348,246","1,958,015",0.18,
ME,2003,"SCALLOP, SEA",60,"131,849","736,969",0.18,
ME,2004,"SCALLOP, SEA",24,"53,599","275,189",0.19,
ME,2005,"SCALLOP, SEA",14,"31,409","258,176",0.12,
ME,2006,"SCALLOP, SEA",70,"154,868","1,252,688",0.12,
ME,2007,"SCALLOP, SEA",80,"177,094","1,408,992",0.13,
ME,2008,"SCALLOP, SEA",62,"136,501","1,014,141",0.13,
ME,2009,"SCALLOP, SEA",36,"79,240","590,129",0.13,
ME,2010,"SCALLOP, SEA",91,"201,002","1,621,883",0.12,
ME,2011,"SCALLOP, SEA",83,"182,305","1,821,082",0.1,
ME,2012,"SCALLOP, SEA",134,"296,212","3,297,845",0.09,
ME,2013,"SCALLOP, SEA",229,"505,629","5,656,985",0.09,
ME,2014,"SCALLOP, SEA",278,"613,029","7,771,649",0.08,
ME,2015,"SCALLOP, SEA",233,"512,988","6,527,256",0.08,
ME,2016,"SCALLOP, SEA",255,"560,981","7,186,825",0.08,
MA,2000,"SEA BASS, BLACK",284,"625,902","968,989",0.65,
RI,2000,"SEA BASS, BLACK",1547,"3,410,092","5,717,437",0.6,
MA,2001,"SEA BASS, BLACK",259,"570,300","894,387",0.64,
RI,2001,"SEA BASS, BLACK",1699,"3,745,990","5,508,016",0.68,
MA,2002,"SEA BASS, BLACK",437,"962,312","1,375,050",0.7,
RI,2002,"SEA BASS, BLACK",1928,"4,250,195","6,790,540",0.63,
MA,2003,"SEA BASS, BLACK",188,"415,077","654,804",0.63,
RI,2003,"SEA BASS, BLACK",1737,"3,829,197","7,119,697",0.54,
MA,2004,"SEA BASS, BLACK",174,"382,389","729,169",0.52,
RI,2004,"SEA BASS, BLACK",1754,"3,865,801","7,483,127",0.52,
MA,2005,"SEA BASS, BLACK",231,"510,162","1,246,133",0.41,
RI,2005,"SEA BASS, BLACK",1525,"3,360,979","7,929,257",0.42,
MA,2006,"SEA BASS, BLACK",271,"596,605","1,524,695",0.39,
RI,2006,"SEA BASS, BLACK",1381,"3,044,278","8,078,727",0.38,
MA,2007,"SEA BASS, BLACK",201,"442,136","1,097,339",0.4,
RI,2007,"SEA BASS, BLACK",1190,"2,622,592","7,472,480",0.35,
MA,2008,"SEA BASS, BLACK",144,"316,722","937,934",0.34,
RI,2008,"SEA BASS, BLACK",1051,"2,317,901","6,334,469",0.37,
MA,2009,"SEA BASS, BLACK",67,"148,469","431,713",0.34,
RI,2009,"SEA BASS, BLACK",857,"1,889,176","4,949,055",0.38,
MA,2010,"SEA BASS, BLACK",118,"260,181","733,754",0.35,
RI,2010,"SEA BASS, BLACK",1027,"2,263,220","6,204,345",0.36,
MA,2011,"SEA BASS, BLACK",131,"287,666","951,190",0.3,
RI,2011,"SEA BASS, BLACK",1083,"2,386,758","6,242,102",0.38,
MA,2012,"SEA BASS, BLACK",133,"292,011","933,115",0.31,
RI,2012,"SEA BASS, BLACK",1179,"2,598,260","6,913,866",0.38,
MA,2013,"SEA BASS, BLACK",149,"328,396","1,037,203",0.32,
RI,2013,"SEA BASS, BLACK",1372,"3,024,147","8,543,854",0.35,
MA,2014,"SEA BASS, BLACK",139,"307,049","1,001,628",0.31,
RI,2014,"SEA BASS, BLACK",1293,"2,850,658","8,638,015",0.33,
MA,2015,"SEA BASS, BLACK",158,"347,822","988,317",0.35,
RI,2015,"SEA BASS, BLACK",1233,"2,717,713","8,802,311",0.31,
MA,2016,"SEA BASS, BLACK",161,"354,032","1,152,271",0.31,
RI,2016,"SEA BASS, BLACK",1268,"2,794,688","9,588,075",0.29,
ME,2000,"SEA BASS, BLACK",7,"14,637","26,328",0.56,
ME,2001,"SEA BASS, BLACK",9,"19,639","28,104",0.7,
ME,2002,"SEA BASS, BLACK",14,"29,863","39,700",0.75,
ME,2003,"SEA BASS, BLACK",10,"22,376","54,829",0.41,
ME,2004,"SEA BASS, BLACK",11,"24,867","59,710",0.42,
ME,2005,"SEA BASS, BLACK",8,"17,522","52,447",0.33,
ME,2006,"SEA BASS, BLACK",5,"10,445","31,762",0.33,
ME,2007,"SEA BASS, BLACK",5,"10,123","31,707",0.32,
ME,2008,"SEA BASS, BLACK",7,"15,555","43,797",0.36,
ME,2009,"SEA BASS, BLACK",7,"16,138","54,556",0.3,
ME,2010,"SEA BASS, BLACK",10,"21,498","82,464",0.26,
ME,2011,"SEA BASS, BLACK",9,"20,496","73,615",0.28,
ME,2012,"SEA BASS, BLACK",8,"18,158","62,684",0.29,
ME,2013,"SEA BASS, BLACK",11,"23,066","87,738",0.26,
ME,2014,"SEA BASS, BLACK",12,"26,958","85,251",0.32,
ME,2015,"SEA BASS, BLACK",11,"24,591","104,255",0.24,
ME,2016,"SEA BASS, BLACK",13,"29,168","137,961",0.21,
RI,2000,"SQUID, LONGFIN",6952,"15,326,032","10,762,869",1.42,
ME,2000,"SQUID, LONGFIN",7,"15,493","10,207",1.52,
RI,2001,"SQUID, LONGFIN",7019,"15,474,861","9,912,881",1.56,
ME,2001,"SQUID, LONGFIN",0,80,56,1.43,
RI,2002,"SQUID, LONGFIN",8227,"18,136,451","11,807,304",1.54,
ME,2002,"SQUID, LONGFIN",1,"1,218","1,097",1.11,
RI,2003,"SQUID, LONGFIN",7121,"15,699,474","11,112,441",1.41,
RI,2005,"SQUID, LONGFIN",10041,"22,135,348","16,972,887",1.3,
RI,2006,"SQUID, LONGFIN",9660,"21,296,219","16,879,068",1.26,
RI,2007,"SQUID, LONGFIN",7200,"15,872,514","13,426,039",1.18,
RI,2008,"SQUID, LONGFIN",6650,"14,660,015","13,539,533",1.08,
ME,2008,"SQUID, LONGFIN",5,"9,850","7,684",1.28,
RI,2009,"SQUID, LONGFIN",5054,"11,141,924","10,045,829",1.11,
RI,2010,"SQUID, LONGFIN",3342,"7,367,736","7,429,741",0.99,
RI,2011,"SQUID, LONGFIN",4498,"9,916,725","11,342,284",0.87,
RI,2012,"SQUID, LONGFIN",5302,"11,689,320","12,743,739",0.92,
RI,2013,"SQUID, LONGFIN",5719,"12,608,733","13,207,503",0.95,
RI,2014,"SQUID, LONGFIN",6644,"14,647,269","13,975,279",1.05,
RI,2015,"SQUID, LONGFIN",7287,"16,065,341","18,864,277",0.85,
RI,2016,"SQUID, LONGFIN",10210,"22,508,475","28,423,823",0.79,
ME,2000,"SQUID, NORTHERN SHORTFIN",0,146,88,1.66,
ME,2001,"SQUID, NORTHERN SHORTFIN",17,"37,350","12,488",2.99,
ME,2002,"SQUID, NORTHERN SHORTFIN",0,687,466,1.47,
ME,2004,"SQUID, NORTHERN SHORTFIN",0,225,48,4.69,
RI,2006,"SQUID, NORTHERN SHORTFIN",8310,"18,320,587","5,721,918",3.2,
RI,2007,"SQUID, NORTHERN SHORTFIN",3559,"7,845,100","1,912,821",4.1,
RI,2008,"SQUID, NORTHERN SHORTFIN",5333,"11,757,361","4,146,991",2.84,
RI,2009,"SQUID, NORTHERN SHORTFIN",6945,"15,310,064","5,203,644",2.94,
RI,2010,"SQUID, NORTHERN SHORTFIN",5639,"12,431,611","5,159,934",2.41,
RI,2011,"SQUID, NORTHERN SHORTFIN",7293,"16,078,884","9,037,349",1.78,
ME,2011,"SQUID, NORTHERN SHORTFIN",1,"1,284","1,275",1.01,
ME,2012,"SQUID, NORTHERN SHORTFIN",1,"1,118","1,352",0.83,
RI,2014,"SQUID, NORTHERN SHORTFIN",4668,"10,291,096","3,742,834",2.75,
RI,2015,"SQUID, NORTHERN SHORTFIN",2009,"4,429,649","1,423,576",3.11,
RI,2016,"SQUID, NORTHERN SHORTFIN",4720,"10,405,993","5,514,021",1.89,
CT,2000,"SEA BASS, BLACK",7,"14,637","26,328",0.56,
CT,2001,"SEA BASS, BLACK",9,"19,639","28,104",0.7,
CT,2002,"SEA BASS, BLACK",14,"29,863","39,700",0.75,
CT,2003,"SEA BASS, BLACK",10,"22,376","54,829",0.41,
CT,2004,"SEA BASS, BLACK",11,"24,867","59,710",0.42,
CT,2005,"SEA BASS, BLACK",8,"17,522","52,447",0.33,
CT,2006,"SEA BASS, BLACK",5,"10,445","31,762",0.33,
CT,2007,"SEA BASS, BLACK",5,"10,123","31,707",0.32,
CT,2008,"SEA BASS, BLACK",7,"15,555","43,797",0.36,
CT,2009,"SEA BASS, BLACK",7,"16,138","54,556",0.3,
CT,2010,"SEA BASS, BLACK",10,"21,498","82,464",0.26,
CT,2011,"SEA BASS, BLACK",9,"20,496","73,615",0.28,
CT,2012,"SEA BASS, BLACK",8,"18,158","62,684",0.29,
CT,2013,"SEA BASS, BLACK",11,"23,066","87,738",0.26,
CT,2014,"SEA BASS, BLACK",12,"26,958","85,251",0.32,
CT,2015,"SEA BASS, BLACK",11,"24,591","104,255",0.24,
CT,2016,"SEA BASS, BLACK",13,"29,168","137,961",0.21,
CT,2000,"SQUID, NORTHERN SHORTFIN",38,"84,050","18,490",,156.4
CT,2002,"SQUID, NORTHERN SHORTFIN",2,"3,634","1,555",,
CT,2003,"SQUID, NORTHERN SHORTFIN",2,"5,225",952,,
CT,2004,"SQUID, NORTHERN SHORTFIN",59,"130,200","18,337",,
CT,2005,"SQUID, NORTHERN SHORTFIN",332,"732,368","265,270",,
CT,2006,"SQUID, NORTHERN SHORTFIN",1,"2,875",333,,
CT,2007,"SQUID, NORTHERN SHORTFIN",1,"2,559","1,847",,
CT,2009,"SQUID, NORTHERN SHORTFIN",0,60,6,,
CT,2011,"SQUID, NORTHERN SHORTFIN",0,60,29,,
CT,2001,"SQUID, LONGFIN",465,"1,025,613","686,778",,
CT,2002,"SQUID, LONGFIN",807,"1,778,266","1,178,428",,
CT,2003,"SQUID, LONGFIN",713,"1,571,902","1,399,771",,
CT,2004,"SQUID, LONGFIN",771,"1,698,875","1,297,651",,
CT,2005,"SQUID, LONGFIN",697,"1,537,497","1,223,552",,
CT,2006,"SQUID, LONGFIN",525,"1,157,430","954,297",,
CT,2007,"SQUID, LONGFIN",368,"810,983","743,563",,
CT,2008,"SQUID, LONGFIN",237,"523,212","546,407",,
CT,2009,"SQUID, LONGFIN",116,"256,168","259,643",,
CT,2010,"SQUID, LONGFIN",166,"365,948","473,320",,
CT,2011,"SQUID, LONGFIN",226,"498,346","693,996",,
CT,2012,"SQUID, LONGFIN",688,"1,517,562","1,861,288",,
CT,2013,"SQUID, LONGFIN",498,"1,097,635","1,256,931",,
CT,2014,"SQUID, LONGFIN",598,"1,318,040","1,353,962",,
CT,2015,"SQUID, LONGFIN",597,"1,316,906","1,630,816",,
CT,2016,"SQUID, LONGFIN",823,"1,814,326","2,188,436",,
CT,2000,MENHADEN,7,"14,423","1,444",,
CT,2001,MENHADEN,18,"38,865","9,722",,
CT,2002,MENHADEN,517,"1,138,788","291,534",,
CT,2003,MENHADEN,21,"46,515","4,655",,
CT,2004,MENHADEN,15,"33,210","3,327",,
CT,2005,MENHADEN,14,"30,636","3,068",,
CT,2006,MENHADEN,393,"866,235","69,303",,
CT,2007,MENHADEN,41,"90,254","9,029",,
CT,2008,MENHADEN,48,"104,881","10,492",,
CT,2009,MENHADEN,78,"170,907","26,883",,
CT,2010,MENHADEN,19,"42,489","9,318",,
CT,2011,MENHADEN,12,"26,929","7,304",,
CT,2012,MENHADEN,17,"37,454","9,514",,
CT,2013,MENHADEN,3,"6,703","3,935",,
CT,2014,MENHADEN,17,"36,552","6,337",,
CT,2015,MENHADEN,37,"81,277","13,795",,
CT,2016,MENHADEN,30,"66,992","11,599",,
